Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
RMA,SEV,04.02.2015,CF-B,,2-46,466.32,288.17,456.96,270.9
RMA,SEV,04.02.2015,CF-S,,2-54,357.12,344.69,363.36,266.19
RMA,ATM,07.02.2015,,,,,,,
RMA,DEP,14.02.2015,GF,Alarcón Suárez,1-22,189.68,398.07,423.68,144.739
RMA,DEP,14.02.2015,CF-G,Benzema,2-72,370.64,352.54,427.84,160.034
RMA,ELC,22.02.2015,GF,Benzema,2-55,393.52,193.97,382.08,158.907
RMA,ELC,22.02.2015,CF-G,Ronaldo,2-68,332.16,330.56,363.36,108.031
RMA,ELC,22.02.2015,CF-O,,1-24,316.56,280.32,463.2,107.387
RMA,VILL,01.03.2015,CF-G,Ronaldo,2-51,380,341.55,401.84,123.326
RMA,VILL,01.03.2015,CF-O,,2-83,549.52,328.99,466.32,149.891
RMA,VILL,01.03.2015,CF-S,,2-53,494.4,292.88,456.96,233.22
RMA,VILL,01.03.2015,CF-S,,2-68,218.8,259.91,270.8,204.96
RMA,ATH,07.03.2015,CF-S,,2-60,207.36,307.01,228.16,278.75
RMA,LEV,15.03.2015,GF,Bale,1-17,473.6,308.58,334.24,127.351
RMA,LEV,15.03.2015,GF,Bale,1-39,413.28,223.8,340.48,156.975
RMA,LEV,15.03.2015,CF-O,,1-4,429.92,318,325.92,156.975
RMA,LEV,15.03.2015,CF-O,,2-63,357.12,292.88,324.88,101.913
RMA,LEV,15.03.2015,CF-O,,2-63,352.96,288.17,302,98.371
RMA,BAR,22.03.2015,CF-G,Ronaldo,1-30,419.52,350.97,360.24,160.034
RMA,BAR,22.03.2015,CF-O,,1-11,460.08,193.97,391.44,96.761
RMA,BAR,22.03.2015,CF-O,,1-42,402.88,310.15,308.24,154.238
RMA,GRA,05.04.2015,CF-G,Bale,1-24,324.88,181.41,355.04,160.034
RMA,GRA,05.04.2015,CF-G,Ronaldo,1-29,254.16,311.72,426.8,143.612
RMA,GRA,05.04.2015,CF-G,Ronaldo,1-35,400.8,281.89,370.64,134.435
RMA,GRA,05.04.2015,GF,Ronaldo,1-37,133.52,438.89,409.12,119.301
RMA,GRA,05.04.2015,GF,Benzema,2-51,427.84,294.45,417.44,134.435
RMA,GRA,05.04.2015,CF-G,Ronaldo,2-53,350.88,182.98,362.32,154.882
RMA,GRA,05.04.2015,GF,Benzema,2-55,546.4,241.07,420.56,158.907
RMA,GRA,05.04.2015,CF-G,Ronaldo,2-88,319.68,275.61,334.24,132.503
RMA,GRA,05.04.2015,CF-O,,1-9,425.76,377.66,465.28,102.879
RMA,GRA,05.04.2015,CF-O,,1-21,411.2,212.81,472.56,136.367
RMA,GRA,05.04.2015,CF-O,,2-69,322.8,313.29,302,145.383
RMA,GRA,05.04.2015,CF-O,,2-71,348.8,266.19,266.64,143.129
RMA,GRA,05.04.2015,CF-S,,2-66,377.92,307.01,374.8,178.27
RMA,RVA,08.04.2015,CF-G,Ronaldo,2-67,364.4,278.75,375.84,137.494
RMA,RVA,08.04.2015,GF,Rodríguez,2-72,361.28,415.34,336.32,155.848
RMA,RVA,08.04.2015,CF-S,,2-84,432,297.59,403.92,170.42
RMA,EIB,11.04.2015,GF,Ronaldo,1-20,334.24,575.48,376.88,140.553
RMA,EIB,11.04.2015,GF,Hernández,1-30,447.6,270.9,333.2,148.764
RMA,EIB,11.04.2015,CF-G,Rodríguez Ruiz,2-82,560.96,318,342.56,157.941
RMA,EIB,11.04.2015,CF-O,,1-21,306.16,206.53,286.4,151.984
RMA,EIB,11.04.2015,CF-B,,2-72,370.64,230.08,382.08,168.85
RMA,MLG,18.04.2015,CF-G,Ramos,1-23,415.36,192.4,383.12,121.233
RMA,MLG,18.04.2015,GF,Rodríguez,2-68,370.64,482.85,403.92,111.09
