Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
ARS,HUL,18.10.2014,CS,,2-95,356.08,256.77,342.56,168.85
ARS,SUN,25.10.2014,CG,Sánchez,1-29,412.24,398.07,404.96,155.848
ARS,SUN,25.10.2014,CG,Sánchez,2-91,445.52,198.68,422.64,148.764
ARS,BUR,01.11.2014,G,Sánchez,2-69,352.96,278.75,396.64,149.73
ARS,BUR,01.11.2014,CG,Chambers,2-71,381.04,226.94,380,156.975
ARS,BUR,01.11.2014,CG,Sánchez,2-90,391.44,230.08,411.2,157.941
ARS,BUR,01.11.2014,CS,,2-83,417.44,241.07,403.92,168.85
ARS,BUR,01.11.2014,CB,,2-65,373.76,270.9,374.8,226.94
ARS,SWA,09.11.2014,CG,Sánchez,2-62,357.12,291.31,374.8,154.882
ARS,SWA,09.11.2014,CS,,1-43,507.92,302.3,417.44,195.54
ARS,SWA,09.11.2014,CS,,2-45,468.4,368.24,412.24,237.93
ARS,MUN,22.11.2014,G,Giroud,2-94,213.6,438.89,335.28,108.997
ARS,MUN,22.11.2014,CS,,1-13,413.28,299.16,403.92,204.96
ARS,MUN,22.11.2014,CS,,1-21,144.96,346.26,182.4,319.57
ARS,WBA,29.11.2014,G,Welbeck,2-59,358.16,288.17,347.76,107.065
ARS,SOU,03.12.2014,CG,Sánchez,2-88,374.8,272.47,360.24,154.882
ARS,SOU,03.12.2014,CO,,1-6,165.76,289.74,286.4,125.258
ARS,SOU,03.12.2014,CS,,2-86,433.04,291.31,372.72,171.99
ARS,SOU,03.12.2014,CS,,2-90,252.08,266.19,278.08,225.37
ARS,STK,06.12.2014,CG,Cazorla,2-67,380,341.55,346.72,154.882
ARS,STK,06.12.2014,G,Ramsey,2-69,257.28,330.56,394.56,155.848
ARS,STK,06.12.2014,CO,,1-10,285.36,280.32,315.52,136.367
ARS,STK,06.12.2014,CO,,2-56,502.72,208.1,437.2,149.73
ARS,NEW,13.12.2014,G,Giroud,1-14,370.64,311.72,426.8,123.326
ARS,NEW,13.12.2014,CG,Cazorla,2-53,215.68,212.81,427.84,133.469
ARS,NEW,13.12.2014,CG,Giroud,2-57,473.6,215.95,415.36,107.065
ARS,NEW,13.12.2014,CG,Cazorla,2-87,380,341.55,380,143.612
ARS,LIV,21.12.2014,G,Debuchy,1-46,347.76,245.78,335.28,120.267
ARS,LIV,21.12.2014,CG,Giroud,2-64,302,280.32,360.24,160.034
ARS,QPR,26.12.2014,CG,Sánchez,1-36,421.6,286.6,399.76,144.739
ARS,QPR,26.12.2014,CG,Rosicky,2-64,504.8,352.54,370.64,156.975
ARS,QPR,26.12.2014,CS,,1-8,380,341.55,403.92,168.85
ARS,WHU,28.12.2014,CG,Cazorla,1-40,380,341.55,340.48,157.941
ARS,WHU,28.12.2014,CG,Welbeck,1-43,364.4,219.09,380,152.789
ARS,WHU,28.12.2014,CO,,1-16,415.36,275.61,174.08,138.621
ARS,WHU,28.12.2014,CS,,2-73,352.96,280.32,349.84,171.99
ARS,SOU,01.01.2015,CS,,1-19,372.72,346.26,374.8,165.71
ARS,STK,11.01.2015,CG,Koscielny,1-5,361.28,291.31,418.48,155.848
ARS,STK,11.01.2015,G,Sánchez,1-32,205.28,318,336.32,156.975
ARS,STK,11.01.2015,G,Sánchez,2-48,234.4,445.17,333.2,160.034
ARS,STK,11.01.2015,CO,,2-66,520.4,214.38,331.12,96.761
ARS,STK,11.01.2015,CO,,2-79,442.4,440.46,274.96,156.492
ARS,MCI,18.01.2015,CG,Cazorla,1-23,380,341.55,418.48,130.41
ARS,MCI,18.01.2015,CG,Giroud,2-66,395.6,314.86,346.72,151.823
ARS,AST,01.02.2015,CG,Giroud,1-7,318.64,380.8,412.24,155.848
ARS,AST,01.02.2015,G,Özil,2-55,231.28,387.08,426.8,160.034
ARS,AST,01.02.2015,G,Walcott,2-62,342.56,382.37,422.64,152.789
ARS,AST,01.02.2015,CG,Cazorla,2-74,380,341.55,422.64,144.739
ARS,AST,01.02.2015,G,Bellerin,2-91,537.04,512.68,337.36,156.975
ARS,AST,01.02.2015,CS,,2-90,276,333.7,363.36,200.25
ARS,TOT,07.02.2015,CG,Özil,1-10,341.52,283.46,399.76,126.385
ARS,LEI,10.02.2015,CG,Koscielny,1-26,421.6,263.05,426.8,160.034
ARS,LEI,10.02.2015,CG,Walcott,1-40,466.32,291.31,335.28,151.823
ARS,LEI,10.02.2015,CS,,1-15,482.96,280.32,468.4,255.2
ARS,CRY,21.02.2015,CG,Cazorla,1-7,376.88,341.55,415.36,157.941
ARS,CRY,21.02.2015,CG,Giroud,1-45,357.12,245.78,415.36,149.73
ARS,CRY,21.02.2015,CO,,2-56,221.92,297.59,475.68,151.984
ARS,CRY,21.02.2015,CS,,1-45,222.96,245.78,323.84,184.55
ARS,EVE,01.03.2015,G,Giroud,1-38,417.44,335.27,340.48,157.941
ARS,EVE,01.03.2015,G,Rosicky,2-88,387.28,518.96,364.4,151.823
ARS,EVE,01.03.2015,CO,,1-26,373.76,275.61,315.52,145.383
ARS,EVE,01.03.2015,CO,,2-91,452.8,283.46,247.92,149.891
ARS,QPR,04.03.2015,CG,Giroud,2-63,302,204.96,360.24,158.907
ARS,QPR,04.03.2015,G,Sánchez,2-68,201.12,214.38,333.2,158.907
ARS,QPR,04.03.2015,CO,,2-46,373.76,208.1,23.28,170.42
ARS,WHU,14.03.2015,G,Giroud,1-45,534.96,335.27,337.36,123.326
ARS,WHU,14.03.2015,CG,Ramsey,2-80,468.4,314.86,399.76,127.351
ARS,WHU,14.03.2015,CG,Flamini,2-83,417.44,203.39,383.12,141.68
ARS,WHU,14.03.2015,CO,,1-42,519.36,259.91,482.96,60.375
ARS,WHU,14.03.2015,CS,,1-26,386.24,300.73,372.72,170.42
ARS,WHU,14.03.2015,CS,,1-32,493.36,308.58,436.16,190.83
ARS,NEW,21.03.2015,G,Giroud,1-23,401.84,285.03,427.84,155.848
ARS,NEW,21.03.2015,G,Giroud,1-27,375.84,255.2,333.2,156.975
ARS,NEW,21.03.2015,CS,,2-78,220.88,189.26,272.88,171.99
ARS,LIV,04.04.2015,G,Bellerin,1-36,488.16,341.55,337.36,154.882
ARS,LIV,04.04.2015,G,Özil,1-39,502.72,529.95,334.24,138.621
ARS,LIV,04.04.2015,G,Sánchez,1-44,372.72,457.73,357.12,112.056
ARS,LIV,04.04.2015,G,Giroud,2-90,429.92,454.59,335.28,123.326
